Abilene Christian University	info@admissions.acu.edu
Capitol Technology University	admissions@captechu.edu
Cardinal Stritch University	admissions@stritch.edu
Caribbean University	admisiones@caribbean.edu
Carleton College	admissions@carleton.edu
Carlow University	admissions@carlow.edu
Carroll College	enroll@carroll.edu
Carroll College Montana	admission@carroll.edu
Carroll University	info@carrollu.edu
Carson Newman University	admitme@cn.edu
Carthage College	admissions@carthage.edu
Case Western Reserve University	admission@case.edu
Castleton University	info@castleton.edu
Catawba College	admission@catawba.edu
Catawba College	admissions@catawba.edu
Catholic University America	cua-admissions@cua.edu
Cazenovia College	admission@cazenovia.edu
Cedar Crest College	admissions@cedarcrest.edu
Cedarville University	admiss@cedarville.edu
Centenary College Louisiana	admission@centenary.edu
Centenary University	admissions@centenaryuniversity.edu
Centenary University	centuadmissions@centenaryuniversity.edu
Central Christian College Of Kansas	admissions@centralchristian.edu
Central College	admission@central.edu
Central Connecticut State University	admissions@ccsu.edu
Central Methodist University	admissions@centralmethodist.edu
Central Michigan University	cmuadmit@cmich.edu
Central Penn College	admissions@centralpenn.edu
Central State University	admissions@centralstate.edu
Central Washington University	admissions@cwu.edu
Centre College	admission@centre.edu
Chadron State College	cscadmissions@csc.edu
Chaminade University Honolulu	admissions@chaminade.edu
Champlain College	admission@champlain.edu
Chapman University	admit@chapman.edu
Charles R Drew University Medicine And Science	admissionsinfo@cdrewu.edu
Charleston Southern University	enroll@csuniv.edu
Charter Oak State College	admissions@charteroak.edu
Chatham University	admissions@chatham.edu
Chestnut Hill College	admissions@chc.edu
Cheyney University Of Pennsylvania	admissions@cheyney.edu
Chicago State University	ug-admissions@csu.edu
Chipola College	hambrightb@chipola.edu
Chowan University	enroll@chowan.edu
Christendom College	admissions@christendom.edu
Christian Brothers University	admissions@cbu.edu
Christopher Newport University	admit@cnu.edu
Cincinnati Christian University	ccuadmissions@ccuniversity.edu
Claflin University	admissions@claflin.edu
Claremont Mckenna College	admission@cmc.edu
Clarion University Of Pennsylvania	admissions@clarion.edu
Clark Atlanta University	admissions@cau.edu
Clark University	admissions@clarku.edu
Clarke University	admissions@clarke.edu
Clarks Summit University	admissions@clarkssummitu.edu
Clarkson College	admissions@clarksoncollege.edu
Clarkson University	admission@clarkson.edu
Clayton State University	ccsu-info@clayton.edu
Clear Creek Baptist Bible College	admissions@ccbbc.edu
Cleary University	admissions@cleary.edu
Clemson University	cuadmissions@clemson.edu
Cleveland Institute Of Music	admission@cim.edu
Cleveland State University	admissions@csuohio.edu
Coastal Carolina University	admissions@coastal.edu
Coe College	admission@coe.edu
Cogswell Polytechnical College	info@cogswell.edu
Coker College	admissions@coker.edu
Colby College	admissions@colby.edu
Colby Sawyer College	admissions@colby-sawyer.edu
Colgate University	admission@colgate.edu
College Of Charleston	admissions@cofc.edu
College of Idaho	admission@collegeofidaho.edu
College of Mount Saint Vincent	admissions@mountsaintvincent.edu
College Of Mount St Vincent	admissions.office@mountsaintvincent.edu
College of New Jersey	tcnjinfo@tcnj.edu
College of New Rochelle	admission@cnr.edu
College Of Saint Benedict	admissions@csbsju.edu
College of Saint Elizabeth	apply@cse.edu
College of Saint Rose	admit@strose.edu
College Of St Mary	enroll@csm.edu
College Of Staten Island Cuny	admissions@csi.cuny.edu
College of the Atlantic Atlantic	inquiry@coa.edu
College of the Holy Cross	admissions@holycross.edu
College Of The Ozarks	admissions@cofo.edu
College of William & Mary	admission@wm.edu
College St Joseph	admissions@csj.edu
College St Scholastica	admissions@css.edu
College Wooster	admissions@wooster.edu
Colorado Christian University	ccuadmissions@ccu.edu
Colorado College	admission@coloradocollege.edu
Colorado Mesa University	admissions@coloradomesa.edu
Colorado School Of Mines	admit@mines.edu
Colorado State University	admissions@colostate.edu
Colorado State University Pueblo	info@csupueblo.edu
Columbia College	admissions@ccis.edu
Columbia College	admissions@columbiasc.edu
Columbia College Chicago	admissions@colum.edu
Columbia College Hollywood	admissions@columbiacollege.edu
Columbia International University	yesciu@ciu.edu
Columbus College Of Art And Design	admissions@ccad.edu
Columbus State University	admissions@columbusstate.edu
Concord University	admissions@concord.edu
Concordia College	admission@concordia-ny.edu
Concordia College Moorhead	admissions@cord.edu
Concordia University Chicago	Admission@CUChicago.edu
Concordia University Irvine	admissions@cui.edu
Concordia University Irvine	admission@cui.edu
Concordia University Nebraska	admiss@cune.edu
Concordia University Portland Or	admission@cu-portland.edu
Concordia University St Paul	admissions@csp.edu
Concordia University St Paul	admission@csp.edu
Concordia University Texas	admissions@concordia.edu
Concordia University Wisconsin	admissions@cuw.edu
Connecticut College	admission@conncoll.edu
Conservatory Of Music Of Puerto Rico	admisiones@cmpr.edu
Converse College	admissions@converse.edu
Cooper Union Advancement Science And Art	admissions@cooper.edu
Coppin State University	admissions@coppin.edu
Corban University	admissions@corban.edu
Cornell College	admission@cornellcollege.edu
Cornerstone University	admissions@cornerstone.edu
Cornish College Of The Arts	admission@cornish.edu
Covenant College	admissions@covenant.edu
Creighton University	admissions@creighton.edu
Criswell College	enrollment@criswell.edu
Crown College	admissions@crown.edu
Culinary Institute America Ny	admissions@culinary.edu
Culver Stockton College	admission@culver.edu
Cumberland University	admissions@cumberland.edu
Cuny Baruch College	admissions@baruch.cuny.edu
Cuny City College	admissions@ccny.cuny.edu
Cuny Hunter College	admissions@hunter.cuny.edu
Cuny John Jay College Of Criminal Justice	admissions@jjay.cuny.edu
Cuny Lehman College	enroll@lehman.cuny.edu
Cuny Medgar Evers College	applytomec@mec.cuny.edu
Cuny New York City College Of Technology	admissions@citytech.cuny.edu
Cuny Queens College	admissions@qc.cuny.edu
Cuny York College	admissions@york.cuny.edu
Curry College	adm@curry.edu
Daemen College	admissions@daemen.edu
Dakota State University	admissions@dsu.edu
Dakota Wesleyan University	admissions@dwu.edu
Dallas Baptist University	admiss@dbu.edu
Dallas Christian College	admissions@dallas.edu
Dalton State College	admissions@daltonstate.edu
Dartmouth College	admissions.office@dartmouth.edu
Davenport University	info@davenport.edu
Davidson College	admission@davidson.edu
Davis Elkins College	summersm@dewv.edu
Dean College	admissions@dean.edu
Dean College	admission@dean.edu
Defiance College	admissions@defiance.edu
Delaware State University	admissions@desu.edu
Delaware Valley University	admitme@delval.edu
Delta State University	admissions@deltastate.edu
Denison University	admissions@denison.edu
Denison University	admission@denison.edu
Depaul University	admission@depaul.edu
Depauw University	admission@depauw.edu
Desales University	admiss@desales.edu
Dickinson College	admissions@dickinson.edu
Dickinson State University	dsu.hawks@dickinsonstate.edu
Digipen Institute Of Technology	admissions@digipen.edu
Dillard University	admissions@dillard.edu
Dixie State University	admissions@dixie.edu
Doane University	admissions@doane.edu
Dominican College	admissions@dc.edu
Dominican University	domadmis@dom.edu
Dominican University California	enroll@dominican.edu
Dordt College	admissions@dordt.edu
Doshisha University Institute Liberal Arts	ji-ila@mail.doshisha.ac.jp
Drake University	admission@drake.edu
Drew University	cadm@drew.edu
Drexel University	enroll@drexel.edu
Drury University	druryad@drury.edu
Duke Kunshan University	undergrad-admissions@dukekunshan.edu.cn
Duke University	undergrad-admissions@duke.edu
Duquesne University	admissions@duq.edu
Durham University	study@durham.ac.uk
Dyouville College	admissons@dyc.edu
Earlham College	admission@earlham.edu
Earlham College	admissions@earlham.edu
East Carolina University	admis@ecu.edu
East Central University	admissions@ecok.edu
East Stroudsburg University Of Pennsylvania	undergrads@esu.edu
East Tennessee State University	go2etsu@etsu.edu
East Texas Baptist University	admissions@etbu.edu
East West University	admissions@eastwest.edu
Eastern Connecticut State University	admissions@easternct.edu
Eastern Illinois University	admissions@eiu.edu
Eastern Kentucky University	admissions@eku.edu
Eastern Mennonite University	admiss@emu.edu
Eastern Michigan University	admissions@emich.edu
Eastern Nazarene College	admissions@enc.edu
Eastern New Mexico University	enrollment.services@enmu.edu
Eastern Oregon University	admissions@eou.edu
Eastern University	ugadm@eastern.edu
Eastern Washington University	admissions@ewu.edu
Eckerd College	admissions@eckerd.edu
Edgewood College	admissions@edgewood.edu
Edinboro University Pennsylvania	admissions@edinboro.edu
Edward Waters College	admissions@ewc.edu
Elizabeth City State University	admissions@ecsu.edu
Elizabethtown College	admissions@etown.edu
Elmhurst College	admit@elmhurst.edu
Elmira College	admissions@elmira.edu
Elms College	admissions@elms.edu
Elon University	admissions@elon.edu
Embry Riddle Aeronautical University Daytona Beach	dbadmit@erau.edu
Embry Riddle Aeronautical University Prescott	pradmit@erau.edu
Embry Riddle Aeronautical University Worldwide Campus	wwadmissions@erau.edu
Emerson College	admission@emerson.edu
Emily Carr University Of Art Design	admissions@ecuad.ca
Emmanuel College	enroll@emmanuel.edu
Emmanuel College Ga	admissions@ec.edu
Emmanuel College Ma	admissions@emmanuel.edu
Emmaus Bible College	admissions@emmaus.edu
Emory Henry College	ehadmiss@ehc.edu
Emory University	admission@emory.edu
Emporia State University	go2esu@emporia.edu
Endicott College	admission@endicott.edu
Erskine College	admissions@erskine.edu
Escp Europe Business School	bachelorlondon@escpeurope.eu
Eugene Lang College The New School For Liberal Arts	lang@newschool.edu
Eureka College	admissions@eureka.edu
Evangel University	admissions@evangel.edu
Evergreen State College	admissions@evergreen.edu
Fairfield University	admis@fairfield.edu
Fairleigh Dickinson University	admissions@fdu.edu
Fairmont State University	admit@fairmontstate.edu
Faith Baptist Bible College And Theological Seminary	admissions@faith.edu
Fashion Institute Of Technology	fitinfo@fitnyc.edu
Faulkner University	admissions@faulkner.edu
Fayetteville State University	admissions@uncfsu.edu
Felician University	admissions@felician.edu
Ferris State University	admissions@ferris.edu
Ferrum College	admissions@ferrum.edu
Fisher College	admissions@fisher.edu
Fisk University	admit@fisk.edu
Fitchburg State University	admissions@fitchburgstate.edu
Five Towns College	admissions@ftc.edu
Flagler College	admissions@flagler.edu
Flashpoint Chicago Campus Columbia College Hollywood	flashpoint.admissions@columbiacollege.edu
Florida Agricultural Mechanical University	ugrdadmissions@famu.edu
Florida Atlantic University	admissions@fau.edu
Florida College	admissions@floridacollege.edu
Florida Gulf Coast University	admissions@fgcu.edu
Florida Institute Technology	admission@fit.edu
Florida International University	admiss@fiu.edu
Florida Memorial University	admit@fmuniv.edu
Florida National University	admissions@fnu.edu
Florida Polytechnic University	admissions@flpoly.org
Florida Southern College	fscadm@flsouthern.edu
Florida State University	admissions@fsu.edu
Fontbonne University	fbyou@fontbonne.edu
Fordham University	enroll@fordham.edu
Fort Hays State University	tigers@fhsu.edu
Fort Lewis College	admission@fortlewis.edu
Fort Valley State University	admissions@fvsu.edu
Framingham State University	admissions@framingham.edu
Francis Marion University	admissions@fmarion.edu
Franciscan Missionaries Of Our Lady University	ololcinfo@ololcollege.edu
Franciscan University Of Steubenville	admissions@franciscan.edu
Franklin College	admissions@franklincollege.edu
Franklin Marshall College	admission@fandm.edu
Franklin Pierce University	admissions@franklinpierce.edu
Franklin University Switzerland	info@fus.edu
Franklin W Olin College Engineering	apply@olin.edu
Freed Hardeman University	admissions@fhu.edu
Fresno Pacific University	admissions@fresno.edu
Friends University	admission@friends.edu
Frostburg State University	fsuadmissions@frostburg.edu
Furman University	admission@furman.edu
Gallaudet University	admissions.office@gallaudet.edu
Gannon University	admissions@gannon.edu
Gardner Webb University	admissions@gardner-webb.edu
George Fox University	admissions@georgefox.edu
George Mason University	admissions@gmu.edu
George Washington University	gwadm@gwu.edu
Georgetown College	admissions@georgetowncollege.edu
Georgetown University	guadmiss@georgetown.edu
Georgia College	admissions@gcsu.edu
Georgia Gwinnett College	ggcadmissions@ggc.edu
Georgia Southern University Armstrong And Liberty Campuses	admissions@georgiasouthern.edu
Georgia Southwestern State University	admissions@gsw.edu
Georgia State University	admissions@gsu.edu
Georgian Court University	admissions@georgian.edu
Gettysburg College	admiss@gettysburg.edu
Glenville State College	admissions@glenville.edu
Goddard College	admissions@goddard.edu
Goldey Beacom College	gbc@gbc.edu
Goldfarb School Of Nursing At Barnes Jewish College	gson-admissions@bjc.org
Gonzaga University	admissions@gonzaga.edu
Gordon College	admissions@gordon.edu
Gordon State College	gordon@gordonstate.edu
Goshen College	admission@goshen.edu
Goucher College	admissions@goucher.edu
Governors State University	admissions@govst.edu
Grace Bible College	graceadmissions@gbcol.edu
Grace College Seminary	admissions@grace.edu
Graceland University	admissions@graceland.edu
Grambling State University	admissions@gram.edu
Grand Canyon University	facouns@gcu.edu
Grand Valley State University	go2gvsu@gvsu.edu
Grand View University	admissions@grandview.edu
Granite State College	ask.granite@granite.edu
Great Basin College	admissions@gbcnv.edu
Green Mountain College	admissions@greenmtn.edu
Greensboro College	admissions@greensboro.edu
Greenville University	admissions@greenville.edu
Grinnell College	admission@grinnell.edu
Grove City College	admissions@gcc.edu
Guilford College	admission@guilford.edu
Gustavus Adolphus College	admission@gustavus.edu
Gwynedd Mercy University	admissions@gmercyu.edu
Hamilton College	admission@hamilton.edu
Hamline University Mn	admission@hamline.edu
Hampden Sydney College	admissions@hsc.edu
Hampden Sydney College	hsapp@hsc.edu
Hampshire College	admissions@hampshire.edu
Hampton University	admit@hamptonu.edu
Hannibal Lagrange University	admissions@hlg.edu
Hanover College	admission@hanover.edu
Hardin Simmons University	enroll@hsutx.edu
Harding University	admissions@harding.edu
Harris Stowe State University	admissions@hssu.edu
Harrisburg University Science And Technology	UndergraduateAdmissions@HarrisburgU.edu
Hartwick College	admissions@hartwick.edu
Harvard College	college@fas.harvard.edu
Harvey Mudd College	admission@hmc.edu
Hastings College	hcadmissions@hastings.edu
Haverford College	admission@haverford.edu
Hawaii Pacific University	admissions@hpu.edu
Heidelberg University	admission@heidelberg.edu
Hellenic College	admissions@hchc.edu
Henderson State University	admissions@hsu.edu
Hendrix College	adm@hendrix.edu
High Point University	admiss@highpoint.edu
Hilbert College	admissions@hilbert.edu
Hillsdale College	admissions@hillsdale.edu
Hiram College	admission@hiram.edu
Hobart And William Smith Colleges	admissions@hws.edu
Hodges University	admit@hodges.edu
Hofstra University	admission@hofstra.edu
Hollins University	huadm@hollins.edu
Holy Cross College	admissions@hcc-nd.edu
Holy Family University	admissions@holyfamily.edu
Holy Names University	admissions@hnu.edu
Hood College	admissions@hood.edu
Hood College	admission@hood.edu
Hope College	admissions@hope.edu
Houghton College	admission@houghton.edu
Houston Baptist University	admissions@hbu.edu
Howard Payne University	enroll@hputx.edu
Howard University	admission@howard.edu
Hult International Business School	undergraduate.info@hult.edu
Humboldt State University	hsuinfo@humboldt.edu
Huntingdon College	admiss@hawks.huntingdon.edu
Huntingdon College Of Health Sciences	admissions@hchs.edu
Huntington University	admissions@huntington.edu
Husson University	admit@husson.edu
Huston Tillotson University	admission@htu.edu
Idaho State University	admiss@isu.edu
Ie University	university@ie.edu
Illinois College	admissions@mail.ic.edu
Illinois Institute Technology	admission@iit.edu
Illinois State University	admissions@illinoisstate.edu
Illinois Wesleyan University	iwuadmit@iwu.edu
Immaculata University	Admiss@immaculata.edu
Indiana Institute Of Technology	admissions@indianatech.edu
Indiana State University	admissions@indstate.edu
Indiana University Bloomington	iuadmit@indiana.edu
Indiana University East	applynow@iue.edu
Indiana University Kokomo	iuadmis@iuk.edu
Indiana University Northwest	admit@iun.edu
Indiana University Of Pennsylvania	admissions-inquiry@iup.edu
Indiana University South Bend	admissions@iusb.edu
Indiana University Southeast	admissions@ius.edu
Indiana Wesleyan University	admissions@indwes.edu
Institute Of American Indian Arts	admissions@iaia.edu
Inter American University Of Puerto Rico Aguadilla	gcortes@aguadilla.inter.edu
Inter American University Of Puerto Rico Fajardo	ada.caraballo@fajardo.inter.edu
Inter American University Of Puerto Rico Guayama	laura.ferrer@guayama.inter.edu
Inter American University Of Puerto Rico Ponce	admisiones@ponce.inter.edu
Inter American University Of Puerto Rico San German	milcama@intersg.edu
Iona College	admissions@iona.edu
Iowa State University	admissions@iastate.edu
Iowa Wesleyan University	admit@iw.edu
IPFW	ask@ipfw.edu
Ithaca College	admission@ithaca.edu
IUPUI	apply@iupui.edu
Jackson State University	admappl@jsums.edu
Jacksonville State University	info@jsu.edu
Jacksonville University	admissions@ju.edu
Jacksonville University	admiss@ju.edu
Jacobs University Bremen	admission@jacobs-university.de
James Madison University	admissions@jmu.edu
Jarvis Christian College	recruitment@jarvis.edu
Jefferson College Health Sciences	admissions@jchs.edu
Jefferson Philadelphia University Thomas Jefferson University	admissions@philau.edu
John Brown University	jbuinfo@jbu.edu
John Cabot University Rome	admissions@johncabot.edu
John Carroll University	enrollment@jcu.edu
John Paul The Great Catholic University	mharold@jpcatholic.com
John Wesley University	admissions@johnwesley.edu
Johns Hopkins University	gotojhu@jhu.edu
Johnson C Smith University	admissions@jcsu.edu
Johnson University	admissions@johnsonu.edu
Johnson University Florida	admissionsfl@johnsonu.edu
Johnson Wales University	mia@admissions.jwu.edu
Johnson Wales University	pvd@admissions.jwu.edu
Johnson Wales University	den@admissions.jwu.edu
Johnson Wales University	clt@admissions.jwu.edu
Judson College	admissions@judson.edu
Judson University	admissions@judsonu.edu
Juilliard School	admissions@juilliard.edu
Juniata College	applications@juniata.edu
Juniata College	admissions@juniata.edu
Kalamazoo College	admission.records@kzoo.edu
Kalamazoo College	admission@kzoo.edu
Kansas City Art Institute	admiss@kcai.edu
Kansas State University	k-state@k-state.edu
Kean University	admitme@kean.edu
Keele University	international@keele.ac.uk
Keene State College	kscadmissions@keene.edu
Kendall College	info@kendall.edu
Kennesaw State University	ksuadmit@kennesaw.edu
Kent State University	admissions@kent.edu
Kentucky Christian University	knights@kcu.edu
Kentucky Mountain Bible College	kmbc@kmbc.edu
Kentucky State University	admissions@kysu.edu
Kentucky Wesleyan College	admissions@kwc.edu
Kenyon College	admissions@kenyon.edu
Kettering University	admissions@kettering.edu
Keuka College	admissions@keuka.edu
Keystone College	admissions@keystone.edu
King University	admission@king.edu
Kings College	admissions@kings.edu
Knox College	admission@knox.edu
Kutztown University Of Pennsylvania	admissions@kutztown.edu
Kuyper College	admissions@kuyper.edu
La Roche College	admissions@laroche.edu
La Salle University	admiss@lasalle.edu
La Sierra University	admissions@lasierra.edu
Lafayette College	admissions@lafayette.edu
Lagrange College	admission@lagrange.edu
Laguna College Of Art And Design	admissions@lcad.edu
Lake Erie College	admissions@lec.edu
Lake Forest College	admissions@lakeforest.edu
Lake Superior State University	admissions@lssu.edu
Lakeland University	admissions@lakeland.edu
Lamar University	admissions@lamar.edu
Lander University	admissions@lander.edu
Lane College	admissions@lanecollege.edu
Langston University	admissions@langston.edu
Lasell College	info@lasell.edu
Lawrence Technological University	admissions@ltu.edu
Lawrence University	admissions@lawrence.edu
Le Moyne College	admission@lemoyne.edu
Leavell College Of New Orleans Baptist Theological Seminary	leavelladmissions@nobts.edu
Lebanon Valley College	admission@lvc.edu
Lee University	admissions@leeuniversity.edu
Lees Mcrae College	admissions@lmc.edu
Lehigh University	admissions@lehigh.edu
Lemoyne Owen College	admission@loc.edu
Lenoir Rhyne University	admission@lr.edu
Lesley University	admissions@lesley.edu
Letourneau University	admissions@letu.edu
Lewis Clark College	admissions@lclark.edu
Lewis Clark State College	admissions@lcsc.edu
Lewis University	admissions@lewisu.edu
Liberty University	admissions@liberty.edu
Life Pacific College	info@lifepacific.edu
Life University	admission@life.edu
Lim College	admissions@limcollege.edu
Limestone College	admiss@limestone.edu
Lincoln Christian University	enroll@lincolnchristian.edu
Lincoln Memorial University	admissions@lmunet.edu
Lincoln University	admissions@lincolnuca.edu
Lincoln University	admissions@lincoln.edu
Lincoln University	admissions@lincolnu.edu
Lindenwood University	Admissions@lindenwood.edu
Lindsey Wilson College	admissions@lindsey.edu
Linfield College	admission@linfield.edu
Lipscomb University	admissions@lipscomb.edu
List College Jewish Theological Seminary	lcadmissions@jtsa.edu
Livingstone College	admissions@livingstone.edu
Lock Haven University Of Pennsylvania	admissions@lockhaven.edu
Long Island University Brooklyn Campus	bkln-admissions@liu.edu
Long Island University Post Campus	post-enroll@liu.edu
Longwood University	admissions@longwood.edu
Loras College	admissions@loras.edu
Louisiana College	admissions@lacollege.edu
Louisiana State University Am Baton Rouge	admissions@lsu.edu
Louisiana State University Shreveport	admissions@lsus.edu
Louisiana Tech University	bulldog@latech.edu
